Sector,LQ_BOGOTÁ D.C.,LQ_Antioquia,LQ_Valle del Cauca
"Agricultura, ganadería, caza, silvicultura y pesca",0.0008333541112011184,0.8788312727157088,0.9969975708408346
Explotación de minas y canteras,0.02408102927021021,0.6532595853999881,0.021261988632670807
Industrias manufactureras,0.6744871237233963,1.2284473137345022,1.3799933918403573
"Suministro de electricidad, gas, vapor y aire acondicionado",0.5764598120647726,1.37467512237119,0.9909263835260776
Construcción,0.8233478110007143,0.9255364432587733,0.6013361735112241
Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1.2055497577199559,1.0015913515406274,0.9940318809700895
Información y comunicaciones,1.6721404074608166,0.9840918130815298,0.9079553733599047
Actividades financieras y de seguros,2.0015542690143606,1.1151826397662419,0.8350318968686663
Actividades inmobiliarias,1.5386100636425326,1.0200071676758162,1.3944107152179555
"Actividades profesionales, científicas y técnicas",1.3141909620410992,1.328074665190815,1.3537032142749668
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,1.014029674182103,0.7786595106780336,0.8626308064003279
"Actividades artísticas, de entretenimiento y recreación",1.6435890641803543,1.0098689050580447,0.9946676308241512
